M,,m,,dim,,aug,,sus4,,sus2,,7,,m7,,M7,,m7b5,,7b5,,7sus4,,add9,,madd9,,mM7,,dim7,,6,,m6,,69,,m69,,7(b9),,7(9),,7(#9),,7(#11),,7(b13),,7(13),,m7(9),,m7(11),,M7(9),,mM7(9),,M7b5,,dim M7,,aug 7,,aug M7,,b5,,5,,8,
3,62,3,62,3,60,3,62,3,62,3,62,3,62,3,62,3,62,3,60,3,60,3,62,3,62,3,62,3,62,3,60,3,62,3,62,3,62,3,62,3,61,3,62,3,63,3,62,3,62,3,62,3,62,3,62,3,62,3,62,3,60,3,60,3,62,3,62,3,60,3,62,3,62
3,63,3,63,3,63,3,63,3,63,3,63,3,63,3,63,3,63,3,63,3,63,3,63,3,63,3,63,3,63,3,63,3,63,3,63,3,63,3,63,3,63,3,63,3,63,3,63,3,63,3,63,3,63,3,63,3,63,3,63,3,63,3,63,3,63,3,63,3,63,3,63,3,63
3,64,3,63,3,63,3,64,3,65,3,62,3,64,3,63,3,64,3,63,3,64,3,65,3,64,3,63,3,63,3,63,3,64,3,63,3,64,3,63,3,64,3,64,3,64,3,64,3,64,3,64,3,63,3,63,3,64,3,63,3,64,3,63,3,64,3,64,3,64,3,64,3,64
3,65,3,65,3,65,3,65,3,65,3,65,3,65,3,65,3,65,3,65,3,65,3,65,3,65,3,65,3,65,3,65,3,65,3,65,3,65,3,65,3,65,3,65,3,65,3,66,3,65,3,65,3,65,3,65,3,65,3,65,3,65,3,65,3,65,3,65,3,65,3,65,3,65
3,66,3,66,3,66,3,66,3,66,3,66,3,66,3,66,3,66,3,66,3,66,3,66,3,66,3,66,3,66,3,66,3,66,3,66,3,66,3,66,3,66,3,66,3,66,3,66,3,66,3,66,3,66,3,66,3,66,3,66,3,66,3,66,3,66,3,66,3,66,3,66,3,66
3,67,3,67,3,66,3,68,3,67,3,67,3,67,3,67,3,67,3,66,3,66,3,65,3,67,3,67,3,67,3,66,3,67,3,67,3,69,3,69,3,67,3,67,3,67,3,67,3,67,3,67,3,67,3,67,3,67,3,67,3,66,3,66,3,68,3,68,3,66,3,67,3,67
3,68,3,68,3,68,3,68,3,68,3,68,3,68,3,68,3,68,3,68,3,68,3,68,3,68,3,68,3,68,3,68,3,68,3,68,3,68,3,68,3,68,3,68,3,68,3,68,3,68,3,68,3,68,3,68,3,68,3,68,3,68,3,68,3,68,3,68,3,68,3,68,3,68
3,69,3,69,3,69,3,68,3,69,3,69,3,70,3,70,3,71,3,66,3,66,3,70,3,67,3,67,3,71,3,69,3,69,3,69,3,69,3,69,3,70,3,70,3,70,3,70,3,68,3,69,3,70,3,70,3,71,3,71,3,66,3,69,3,68,3,68,3,66,3,69,3,69
3,70,3,70,3,71,3,70,3,71,3,71,3,70,3,70,3,70,3,70,3,70,3,70,3,71,3,70,3,70,3,71,3,70,3,70,3,69,3,69,3,70,3,70,3,70,3,70,3,70,3,70,3,70,3,70,3,70,3,70,3,71,3,71,3,70,3,70,3,70,3,70,3,70
3,71,3,72,3,72,3,72,3,72,3,72,3,70,3,72,3,71,3,70,3,70,3,72,3,72,3,72,3,72,3,72,3,71,3,71,3,70,3,70,3,70,3,70,3,70,3,70,3,70,3,70,3,72,3,72,3,71,3,72,3,71,3,72,3,72,3,72,3,72,3,71,3,71
3,72,3,72,3,72,3,72,3,72,3,72,3,72,3,72,3,71,3,72,3,72,3,72,3,72,3,72,3,72,3,72,3,72,3,72,3,72,3,72,3,72,3,72,3,72,3,72,3,72,3,72,3,72,3,72,3,71,3,72,3,72,3,72,3,72,3,72,3,72,3,72,3,72
4,60,4,60,4,60,4,60,4,60,4,60,4,60,4,60,4,60,4,60,4,60,4,60,4,60,4,60,4,60,4,60,4,60,4,60,4,60,4,60,4,60,4,60,4,60,4,60,4,60,4,60,4,60,4,60,4,60,4,60,4,60,4,60,4,60,4,60,4,60,4,60,4,60
4,61,4,62,4,62,4,62,4,64,4,64,4,61,4,62,4,61,4,62,4,62,4,64,4,61,4,61,4,62,4,62,4,61,4,62,4,61,4,61,4,61,4,61,4,61,4,61,4,61,4,61,4,62,4,62,4,61,4,62,4,62,4,62,4,62,4,62,4,62,4,61,4,61
4,62,4,63,4,63,4,64,4,65,4,65,4,62,4,63,4,62,4,63,4,64,4,65,4,62,4,62,4,63,4,63,4,62,4,63,4,62,4,62,4,62,4,62,4,62,4,62,4,62,4,62,4,63,4,63,4,62,4,63,4,64,4,63,4,64,4,64,4,64,4,62,4,62
4,63,4,62,4,62,4,63,4,64,4,63,4,63,4,62,4,63,4,62,4,63,4,64,4,63,4,62,4,62,4,62,4,63,4,62,4,63,4,62,4,63,4,63,4,63,4,63,4,63,4,63,4,62,4,62,4,63,4,62,4,63,4,62,4,63,4,63,4,63,4,63,4,63
4,64,4,63,4,63,4,64,4,65,4,62,4,64,4,63,4,64,4,63,4,64,4,65,4,64,4,63,4,63,4,63,4,64,4,63,4,62,4,62,4,64,4,64,4,64,4,64,4,64,4,64,4,63,4,63,4,64,4,63,4,64,4,63,4,64,4,64,4,64,4,60,4,60
4,65,4,63,4,63,4,64,4,65,4,65,4,64,4,63,4,64,4,63,4,64,4,65,4,62,4,62,4,63,4,63,4,64,4,63,4,64,4,63,4,64,4,64,4,64,4,64,4,64,4,64,4,63,4,63,4,64,4,63,4,64,4,63,4,64,4,64,4,64,4,65,4,65
4,66,4,66,4,65,4,67,4,66,4,66,4,66,4,66,4,66,4,65,4,65,4,66,4,66,4,66,4,66,4,65,4,66,4,66,4,66,4,66,4,66,4,66,4,66,4,66,4,66,4,66,4,66,4,66,4,66,4,66,4,65,4,65,4,67,4,67,4,65,4,66,4,66
4,67,4,67,4,66,4,68,4,67,4,67,4,70,4,70,4,71,4,66,4,66,4,70,4,74,4,74,4,71,4,69,4,69,4,69,4,69,4,69,4,70,4,70,4,70,4,70,4,70,4,70,4,70,4,70,4,71,4,71,4,66,4,71,4,70,4,71,4,66,4,67,4,72
4,68,4,66,4,65,4,67,4,66,4,66,4,69,4,69,4,70,4,69,4,65,4,66,4,66,4,66,4,66,4,65,4,69,4,67,4,69,4,69,4,69,4,69,4,69,4,69,4,69,4,69,4,69,4,69,4,70,4,66,4,65,4,65,4,67,4,67,4,65,4,68,4,68
4,69,4,67,4,66,4,68,4,67,4,67,4,70,4,70,4,71,4,70,4,66,4,67,4,67,4,67,4,67,4,66,4,69,4,69,4,69,4,69,4,70,4,70,4,70,4,70,4,70,4,70,4,70,4,70,4,71,4,67,4,66,4,66,4,68,4,68,4,66,4,69,4,69
4,70,4,67,4,66,4,68,4,67,4,67,4,70,4,70,4,71,4,70,4,70,4,70,4,74,4,74,4,71,4,66,4,69,4,69,4,69,4,69,4,70,4,70,4,70,4,70,4,70,4,70,4,70,4,70,4,71,4,71,4,71,4,71,4,70,4,71,4,66,4,70,4,70
4,71,4,72,4,72,4,72,4,72,4,72,4,70,4,70,4,71,4,70,4,70,4,70,4,72,4,72,4,71,4,72,4,72,4,72,4,72,4,72,4,70,4,70,4,70,4,70,4,70,4,70,4,70,4,70,4,71,4,71,4,71,4,71,4,70,4,71,4,72,4,71,4,71
4,72,4,72,4,72,4,72,4,72,4,72,4,72,4,72,4,72,4,72,4,72,4,72,4,72,4,72,4,72,4,72,4,72,4,72,4,72,4,72,4,72,4,72,4,72,4,72,4,72,4,72,4,72,4,72,4,72,4,72,4,72,4,72,4,72,4,72,4,72,4,72,4,72
